e, train_step, valid_loss, train_loss
0| (0, 0, 1.385999846458435, 1.4331862926483154)
1| (0, 5, 0.7885703623294831, 0.8968395491441091)
2| (0, 10, 0.37796068787574766, 0.20502274144779553)
3| (0, 15, 0.16499868929386138, 0.05051171546801925)
4| (0, 20, 0.07402575016021729, 0.026533998548984528)
5| (0, 25, 0.04419668428599834, 0.01050870163509479)
6| (1, 0, 0.01907895375043154, 0.0066621312871575356)
7| (1, 5, 0.014854170754551888, 0.007313966052606702)
8| (1, 10, 0.010105837881565095, 0.005303367930041118)
9| (1, 15, 0.005653974693268537, 0.012892318758531474)
10| (1, 20, 0.004059997387230396, 0.004902475313948733)
11| (1, 25, 0.003049515187740326, 0.0015885123821835106)
12| (2, 0, 0.0022004915168508886, 0.0027077088598161936)
13| (2, 5, 0.0014949434786103665, 0.010426759060161809)
14| (2, 10, 0.0012885711330454797, 0.0042259629011492834)
15| (2, 15, 0.0012706653098575771, 0.0006563653296325356)
16| (2, 20, 0.001041417906526476, 0.0017796872804562251)
17| (2, 25, 0.000985434598987922, 0.0005475451516059155)
18| (3, 0, 0.0007708201883360744, 0.002182174474000931)
19| (3, 5, 0.0007574123563244938, 0.0013816871699721862)
20| (3, 10, 0.0007218854618258775, 0.002991288810418072)
21| (3, 15, 0.0007866981497500092, 0.0009754897182574496)
22| (3, 20, 0.0007316683244425803, 0.00044154395748461993)
23| (3, 25, 0.0006013144535245374, 0.0011929088415434728)
24| (4, 0, 0.0006061446270905435, 0.0027565404307097197)
25| (4, 5, 0.000507875852053985, 0.030896729896388326)
26| (4, 10, 0.0006895964354043827, 0.0008723113728179173)
27| (4, 15, 0.0010687649541068823, 0.013300833019457059)
28| (4, 20, 0.0020095209474675357, 0.0018737891001538152)
29| (4, 25, 0.002393154089804739, 0.0009994931304110931)
30| (5, 0, 0.0012718366924673319, 0.0007654050714336336)
31| (5, 5, 0.0011281218961812557, 0.0047339956897000475)
32| (5, 10, 0.0010395120014436543, 0.0011754865779287436)
33| (5, 15, 0.0008482251025270671, 0.0028718474350171164)
34| (5, 20, 0.000662443577311933, 0.0035549236428258674)
35| (5, 25, 0.001010645879432559, 0.0006102362195423876)
36| (6, 0, 0.0006787070422433316, 0.0011338689364492893)
37| (6, 5, 0.0006678666453808546, 0.0005928631726419553)
38| (6, 10, 0.0006877559993881732, 0.0016906860030510209)
39| (6, 15, 0.0008542563300579786, 0.00037345546661526896)
40| (6, 20, 0.0006747287232428789, 0.0014283658376717497)
41| (6, 25, 0.0004323307715822011, 0.0003899940974616374)
42| (7, 0, 0.0004379998499643989, 0.0007049959967844188)
43| (7, 5, 0.0003939140238799155, 0.0007677277414283404)
44| (7, 10, 0.0004652898496715352, 0.0008356853716329417)
45| (7, 15, 0.0002586210845038295, 0.0011151095968671143)
46| (7, 20, 0.0002552905643824488, 0.0006759789123732064)
47| (7, 25, 0.0003076494118431583, 0.0006450298600471937)
48| (8, 0, 0.00019462091731838881, 0.00029771876870654523)
49| (8, 5, 0.00019260847475379705, 0.001347780169453472)
50| (8, 10, 0.00019152257445966824, 0.0008674314581598578)
51| (8, 15, 0.00016758995479904115, 0.002305827778400271)
52| (8, 20, 0.00019920107879443095, 0.00010394500402201499)
53| (8, 25, 0.00016599394657532685, 0.00022535395356289184)
54| (9, 0, 0.00014704044006066396, 0.000301305582979694)
55| (9, 5, 0.00015804780268808828, 0.002613989713912209)
56| (9, 10, 0.00014534144283970818, 0.00015845417510718107)
57| (9, 15, 0.00014820716169197112, 0.00015522189823968802)
58| (9, 20, 0.00014694856799906119, 0.00031803188002890064)
59| (9, 25, 0.00013988975988468155, 0.0001910732647117514)
